id_transacao,data_hora,id_estabelecimento,bandeira_cartao,modalidade,valor,status,id_cliente,sexo,faixa_etaria,renda_estimada,nome_fantasia,categoria,cidade,estado,mes_transacao,valor_acumulado_cliente,valor_acumulado_estabelecimento
trx_0,2024-06-24 23:00:00,estab_5,Mastercard,crédito,13.48,aprovada,cli_344,Feminino,18-25,2k-5k,Carvalho S.A.,mercado,Alves,AP,6,13.48,13.48
trx_1,2024-07-20 07:00:00,estab_24,Hipercard,débito,541.7,recusada,cli_309,Masculino,36-45,5k-10k,da Cruz Mendes - ME,restaurante,Porto de da Cunha,TO,7,541.7,541.7
trx_2,2024-04-25 08:00:00,estab_30,Elo,débito,772.15,aprovada,cli_11,Feminino,46-60,5k-10k,Araújo - EI,farmácia,Dias de Gonçalves,MG,4,772.15,772.15
trx_3,2024-05-12 18:00:00,estab_8,Mastercard,débito,751.27,aprovada,cli_64,Masculino,18-25,10k+,Dias - ME,farmácia,da Rocha do Amparo,PB,5,751.27,751.27
trx_4,2024-04-17 05:00:00,estab_19,Elo,débito,906.99,estornada,cli_181,Feminino,26-35,<2k,Novais Leão S.A.,vestuário,Porto da Serra,AM,4,906.99,906.99
trx_5,2024-04-18 07:00:00,estab_9,Elo,débito,1441.02,aprovada,cli_233,Feminino,18-25,5k-10k,Machado,eletrodomésticos,da Costa,PA,4,1441.02,1441.02
trx_6,2024-06-17 01:00:00,estab_36,Visa,débito,1328.36,aprovada,cli_322,Masculino,60+,5k-10k,Fernandes,farmácia,Pires de Sampaio,BA,6,1328.36,1328.36
trx_7,2024-12-17 04:00:00,estab_26,Hipercard,débito,167.82,aprovada,cli_404,Feminino,36-45,10k+,Oliveira,farmácia,Vasconcelos do Campo,AP,12,167.82,167.82
trx_8,2024-02-24 08:00:00,estab_12,Elo,débito,402.64,aprovada,cli_132,Masculino,26-35,2k-5k,da Rosa,eletrodomésticos,das Neves,MS,2,402.64,402.64
trx_9,2024-11-03 00:00:00,estab_40,Hipercard,crédito,1250.5,aprovada,cli_185,Masculino,60+,2k-5k,Vieira,vestuário,Moraes das Pedras,PE,11,1250.5,1250.5
trx_10,2024-09-01 21:00:00,estab_1,Visa,crédito,1237.34,aprovada,cli_78,Feminino,60+,10k+,Pacheco Costela S/A,eletrodomésticos,das Neves de Lopes,MA,9,1237.34,1237.34
trx_11,2024-02-24 05:00:00,estab_49,Mastercard,crédito,416.68,aprovada,cli_131,Feminino,46-60,10k+,Barbosa,vestuário,Ferreira da Serra,GO,2,416.68,416.68
trx_12,2024-04-15 21:00:00,estab_20,Mastercard,crédito,1097.23,aprovada,cli_274,Masculino,26-35,<2k,Lima da Cunha S/A,mercado,da Cruz,RS,4,1097.23,1097.23
trx_13,2024-03-26 11:00:00,estab_32,Visa,débito,1009.7,aprovada,cli_336,Masculino,60+,<2k,Monteiro Novais - EI,vestuário,Rios,BA,3,1009.7,1009.7
trx_14,2024-10-10 17:00:00,estab_23,Visa,crédito,712.92,recusada,cli_310,Masculino,60+,2k-5k,Souza,restaurante,da Cruz,AM,10,712.92,712.92
trx_15,2024-12-25 17:00:00,estab_43,Elo,crédito,306.18,aprovada,cli_316,Feminino,60+,10k+,Silva S/A,mercado,Cavalcanti dos Dourados,MS,12,306.18,306.18
trx_16,2024-01-04 02:00:00,estab_41,Visa,débito,1333.52,recusada,cli_199,Masculino,26-35,10k+,Nascimento - ME,restaurante,Dias,SP,1,1333.52,1333.52
trx_17,2024-10-17 21:00:00,estab_33,Mastercard,crédito,1018.39,aprovada,cli_100,Masculino,36-45,10k+,Barros,restaurante,Rocha,GO,10,1018.39,1018.39
trx_18,2024-08-16 03:00:00,estab_8,Hipercard,débito,257.64,aprovada,cli_151,Masculino,18-25,10k+,Dias - ME,farmácia,da Rocha do Amparo,PB,8,257.64,1008.91
