id_transacao,id_cliente
trx_0,cli_344
trx_1,cli_309
trx_2,cli_11
trx_3,cli_64
trx_4,cli_181
trx_5,cli_233
trx_6,cli_322
trx_7,cli_404
trx_8,cli_132
trx_9,cli_185
trx_10,cli_78
trx_11,cli_131
trx_12,cli_274
trx_13,cli_336
trx_14,cli_310
trx_15,cli_316
trx_16,cli_199
trx_17,cli_100
trx_18,cli_151
trx_19,cli_451
trx_20,cli_215
trx_21,cli_146
trx_22,cli_279
trx_23,cli_309
trx_24,cli_232
trx_25,cli_492
trx_26,cli_148
trx_27,cli_336
trx_28,cli_455
trx_29,cli_478
trx_30,cli_274
trx_31,cli_458
trx_32,cli_180
trx_33,cli_493
trx_34,cli_433
trx_35,cli_150
trx_36,cli_292
trx_37,cli_283
trx_38,cli_470
trx_39,cli_203
trx_40,cli_79
trx_41,cli_463
trx_42,cli_461
trx_43,cli_326
trx_44,cli_148
trx_45,cli_276
trx_46,cli_424
trx_47,cli_34
trx_48,cli_365
trx_49,cli_215
trx_50,cli_0
trx_51,cli_205
trx_52,cli_467
trx_53,cli_91
trx_54,cli_465
trx_55,cli_450
trx_56,cli_90
trx_57,cli_69
trx_58,cli_131
trx_59,cli_256
trx_60,cli_404
trx_61,cli_354
trx_62,cli_91
trx_63,cli_81
trx_64,cli_371
trx_65,cli_380
trx_66,cli_307
trx_67,cli_98
trx_68,cli_52
trx_69,cli_340
trx_70,cli_79
trx_71,cli_311
trx_72,cli_473
trx_73,cli_358
trx_74,cli_456
trx_75,cli_342
trx_76,cli_449
trx_77,cli_450
trx_78,cli_245
trx_79,cli_288
trx_80,cli_471
trx_81,cli_278
trx_82,cli_261
trx_83,cli_340
trx_84,cli_430
trx_85,cli_441
trx_86,cli_260
trx_87,cli_332
trx_88,cli_231
trx_89,cli_247
trx_90,cli_254
trx_91,cli_460
trx_92,cli_82
trx_93,cli_264
trx_94,cli_2
trx_95,cli_444
trx_96,cli_222
trx_97,cli_249
trx_98,cli_191
trx_99,cli_45
trx_100,cli_439
trx_101,cli_294
trx_102,cli_268
trx_103,cli_40
trx_104,cli_138
trx_105,cli_40
trx_106,cli_330
trx_107,cli_493
trx_108,cli_174
trx_109,cli_432
trx_110,cli_448
trx_111,cli_290
trx_112,cli_418
trx_113,cli_322
trx_114,cli_387
trx_115,cli_279
trx_116,cli_93
trx_117,cli_351
trx_118,cli_368
trx_119,cli_339
trx_120,cli_419
trx_121,cli_204
trx_122,cli_55
trx_123,cli_230
trx_124,cli_259
trx_125,cli_219
trx_126,cli_167
trx_127,cli_170
trx_128,cli_498
trx_129,cli_313
trx_130,cli_317
trx_131,cli_390
trx_132,cli_136
trx_133,cli_277
trx_134,cli_259
trx_135,cli_383
trx_136,cli_419
trx_137,cli_480
trx_138,cli_453
trx_139,cli_450
